num,ref,type ,u,ustar,h,c,phif,phim,phic,phifCDF,phimCDF,phicCDF,xi,omega,alpha,sigma,phimedian,Gamma,xiw,phimedianw,gamma
1,Guy (1966),A,1.05,0.05,0.24,0.11,3.04,2.4,1.55,5,50,99,2.16,0.45,0.93,0.38,2.4,1.12,2.53,2.77,1.12
2,Guy (1966),A,0.88,0.05,0.16,0.09,3.04,2.4,1.55,5,50,99,2.16,0.45,0.93,0.38,2.4,1.21,2.68,2.92,1.21
3,Guy (1966),A,1.12,0.06,0.23,0.09,2.47,1.89,1,12.5,50,87.5,2.59,1.03,-4.22,0.65,1.89,1.35,3.26,2.57,1.35
4,Guy (1966),A,0.95,0.05,0.18,0.04,2.47,1.84,1,11,50,82.5,2.64,1.2,-41.99,0.73,1.83,1.09,3.49,2.68,1.09
5,Guy (1966),A,1.16,0.07,0.22,0.1,2.47,1.84,1,11,50,82.5,2.64,1.2,-41.99,0.73,1.83,1.55,3.36,2.55,1.55
6,Guy (1966),A,1.23,0.1,0.2,0.15,2.47,1.64,1,5,50,83,2.25,0.91,-2.43,0.62,1.64,2.85,2.94,2.33,2.85
7,Guy (1966),A,1.05,0.08,0.16,0.26,2.89,1.6,1,8.5,50,70,2.67,1.61,-2.25,1.1,1.6,3.2,4.03,2.97,3.2
8,Nordine & Dempster (1963),B,0.95,0.08,0.78,0.03,3.41,2.41,1.42,26.37,65.25,95.05,1.84,1.41,2.16,0.97,2.77,2.69,1.84,2.77,2.69
9,Nordine & Dempster (1963),B,0.95,0.08,0.76,0.02,3.41,2.41,1.42,29.17,70.6,97.5,1.94,1.39,2.49,0.94,2.87,2.75,1.94,2.87,2.75
10,Nordine & Dempster (1963),B,0.9,0.07,0.52,0.03,3.41,2.41,1.42,27.44,68.75,98.17,1.86,1.42,3.19,0.92,2.82,1.84,1.86,2.82,1.84
11,Nordine & Dempster (1963),B,0.71,0.08,0.72,0.02,3.41,2.41,1.42,28.26,68.88,96.74,1.92,1.39,2.33,0.95,2.84,2.56,1.92,2.84,2.56
12,Nordine & Dempster (1963),B,0.82,0.08,0.75,0.02,3.41,2.41,1.42,22,60.73,97,1.7,1.4,3.49,0.9,2.64,2.34,1.7,2.64,2.34
13,Nordine & Dempster (1963),B,0.6,0.06,0.43,0.03,3.41,2.41,1.42,25.88,66.33,97.65,1.81,1.42,3.16,0.92,2.76,1.56,1.81,2.76,1.56
14,Nordine & Dempster (1963),B,0.66,0.06,0.44,0.03,3.41,2.41,1.42,23.88,63.74,97.76,1.76,1.4,3.55,0.9,2.7,1.55,1.76,2.7,1.55
15,Nordine & Dempster (1963),B,0.58,0.06,0.47,0.03,3.41,2.41,1.42,21.83,58.27,93.66,1.64,1.44,2.66,0.96,2.6,1.49,1.64,2.6,1.49
