Dataset 2 x,Dataset 2 y
1.377777777778E0,5.434782608696E-2
1.422222222222E0,1.570048309179E-1
1.466666666667E0,2.536231884058E-1
1.528888888889E0,3.562801932367E-1
1.564444444444E0,4.468599033816E-1
1.600000000000E0,5.495169082126E-1
1.644444444444E0,6.400966183575E-1
1.688888888889E0,7.487922705314E-1
1.706666666667E0,8.514492753623E-1
1.760000000000E0,9.601449275362E-1
1.795555555556E0,1.062801932367E0
1.813333333333E0,1.153381642512E0
1.822222222222E0,1.256038647343E0
1.848888888889E0,1.358695652174E0
1.875555555556E0,1.461352657005E0
1.884444444444E0,1.557971014493E0
1.973333333333E0,2.451690821256E0
