x	y
0.0003824	0.1912003
0.0005657	1.9837151
0.0007900	4.1225033
0.0011901	6.9794064
0.0016698	9.9952774
0.0021129	12.8933086
0.0029632	17.3059521
0.0036373	20.4151936
0.0042991	23.7595577
0.0051570	28.1043835
0.0059225	32.1790848
0.0070044	38.6499176
0.0085965	46.7665253
0.0101733	53.5363998
0.0124170	61.5735245
0.0137199	65.9600372
0.0155255	71.5065384
0.0179974	78.3197708
0.0211273	84.6438599
0.0251937	89.8474274
0.0310290	94.3056564
0.0367805	96.8807449
0.0445738	98.9317169
0.0538176	99.7493134
