y	x
0.06	5.15
0.49	20.59
0.92	24.02
1.36	25.73
1.79	25.73
2.22	26.589999999999996
2.65	26.589999999999996
3.09	26.589999999999996
3.52	26.589999999999996
3.95	27.45
4.38	28.310000000000002
4.82	28.310000000000002
5.25	29.160000000000004
5.68	29.160000000000004
6.12	29.160000000000004
6.55	28.310000000000002
7.0	28.310000000000002
7.41	28.310000000000002
7.85	28.310000000000002
8.28	28.310000000000002
8.7	28.310000000000002
9.14	28.310000000000002
9.58	28.310000000000002
10.01	28.310000000000002
10.4	28.310000000000002
10.87	27.45
11.31	27.45
11.74	26.589999999999996
12.17	26.589999999999996
12.6	26.589999999999996
13.04	25.73
13.47	25.73
13.9	24.869999999999997
14.33	24.02
14.77	24.02
15.2	24.02
15.63	23.16
16.06	22.3
16.5	22.3
16.93	22.3
17.36	21.44
17.79	20.59
18.23	19.73
18.66	19.73
19.09	18.009999999999998
19.53	18.009999999999998
19.96	17.16
20.4	16.3
20.82	15.440000000000001
21.26	14.580000000000002
21.69	13.719999999999999
22.1	13.719999999999999
22.55	12.87
22.99	12.01
23.42	11.15
23.9	10.290000000000001
24.28	9.440000000000001
24.72	9.440000000000001
25.58	7.720000000000001
26.01	6.859999999999999
26.45	6.0
26.88	5.15
28.18	4.29
29.47	3.4299999999999997
29.91	2.57
