x	y
68.2503815	0.4422181
70.7646027	0.8776739
72.2632217	1.2480860
73.0475769	1.4829354
73.3477707	1.8712945
73.3477707	2.3094244
72.6958694	2.7758107
71.0136642	3.3721619
69.0878067	3.7419362
67.1119919	4.0810347
63.6491852	4.5177631
60.1344681	4.8184209
56.9881134	5.0363398
54.0110245	5.2556591
49.1510773	5.6274700
45.1533508	5.9775162
42.4148636	6.3042679
38.8114471	6.7664547
36.0679245	7.1676702
33.3600311	7.5588303
30.3631916	7.9918680
27.2300053	8.4630928
24.4489117	8.8069000
20.8966236	9.2666712
18.4939594	9.5582886
14.8963528	10.0356226
12.3205490	10.3693762
9.2338448	10.8677120
6.2598524	11.3594303
4.1128330	11.7933598
2.6955585	12.2461300
