x	y
46.5624924	0.7152534
48.1997757	0.9153521
49.8692093	1.1033583
51.0482635	1.2185550
53.7592545	1.6760321
55.3128738	2.0716472
56.8304672	2.6441932
57.5919724	3.3040595
57.1581573	4.0154805
54.7888031	4.8587718
50.4800339	5.4808321
46.9792709	5.9173079
44.0893326	6.2355309
39.1174393	6.6698418
35.9699249	6.9102917
32.0698090	7.2408609
27.6293545	7.5601025
23.8524075	7.8361931
20.0615215	8.1457596
15.7516003	8.6000566
11.9490891	9.0231657
8.8155155	9.2572489
4.7651119	9.8464699
2.0676832	10.3682289
