x	y
0.0001850	0.0547943
0.0003214	0.2795582
0.0004780	1.0321255
0.0006229	2.3320675
0.0008112	4.3761940
0.0010649	7.2830315
0.0013810	11.1823025
0.0017980	16.0337391
0.0023352	21.7026196
0.0030358	27.3882542
0.0039643	32.5863495
0.0051851	36.7953568
0.0067647	40.2255325
0.0088439	42.8550568
0.0114653	45.8664474
0.0149215	49.4828110
0.0194844	52.8246384
0.0253079	54.9397812
0.0326702	56.3040161
0.0426997	56.8592148
0.0558938	57.5139236
0.0728965	58.7356110
0.0948000	60.1149445
0.1075800	61.0727005
0.1233813	62.0718460
0.1405299	63.3136368
0.1607439	65.0731735
0.1819428	67.0278473
0.2101557	69.7423401
0.2408269	72.6178818
0.2736184	75.8517990
0.3119980	78.8693390
0.3560879	81.8963776
0.4038171	84.7590637
0.4641873	87.7581558
0.5326210	90.8455963
0.6078058	93.9889374
0.8404710	97.0640640
1.9688274	99.9725800
