x	y
0.0002162	0.0161896
0.0003203	0.2785950
0.0004179	0.5890160
0.0005452	1.2277164
0.0007093	2.1332912
0.0009203	3.5452480
0.0012030	5.5730171
0.0015687	7.5209484
0.0020586	9.8730946
0.0026667	12.2743759
0.0034785	14.3015862
0.0045383	16.7380371
0.0059085	18.9952698
0.0077054	21.5841408
0.0101032	24.0926094
0.0131128	26.8500938
0.0171940	29.7460213
0.0223157	33.0076485
0.0290441	36.4496155
0.0377374	39.9820175
0.0491749	44.3859444
0.0643289	48.5068016
0.0834712	52.5941658
0.1084701	57.4670677
0.1420143	62.3985939
0.1846611	67.5484314
0.2424178	73.3084717
0.2747923	76.5427399
0.3152375	80.1253815
0.3592383	83.9151764
0.4127951	87.6022339
0.4698299	90.9917145
0.6106457	96.1002197
0.8550943	97.3591919
1.9811192	99.9916229
