x	y
0.0001873	0.1393108
0.0004164	0.5864811
0.0005423	1.4885597
0.0006200	2.0509605
0.0007063	2.8197498
0.0008083	3.5713387
0.0009291	4.7597752
0.0010569	5.8648014
0.0011969	7.0910778
0.0013737	8.6510105
0.0015530	10.4904251
0.0017659	12.4424915
0.0020356	14.4229431
0.0023095	16.3431854
0.0026677	18.8447533
0.0030301	20.8123016
0.0034695	23.2287369
0.0039206	25.4878006
0.0045089	27.7528877
0.0051663	30.4290314
0.0058473	33.3502464
0.0066682	35.7855988
0.0077152	38.8633270
0.0087675	41.6787796
0.0099560	44.7590904
0.0115884	48.0629730
0.0129064	51.4503021
0.0149212	55.3363724
0.0168765	58.9842377
0.0195603	62.9201889
0.0221932	67.0943451
0.0252480	70.8815308
0.0286932	74.7891006
0.0328883	78.3440933
0.0373369	82.0160446
0.0429555	84.7541046
0.0490890	87.3631592
0.0553850	89.7417603
0.0639472	91.7806778
0.0732008	93.1393890
0.0834557	94.6958771
0.0956627	95.8843155
0.1078925	96.7150269
0.1257799	97.5594864
0.1420089	98.0565338
0.1633876	98.3884735
0.1860135	98.8072662
0.2407074	99.1882172
0.3154449	99.5287476
0.6016502	99.9707642
