x	y
48.480	0.047
91.032	0.154
99.835	0.217
113.556	0.547
116.039	0.675
121.077	0.857
124.240	1.173
123.829	1.263
122.090	1.439
118.319	1.803
114.955	1.977
109.721	2.347
100.678	2.820
94.687	3.196
85.603	3.666
77.758	4.177
74.189	4.414
69.099	4.642
65.482	4.847
58.583	5.237
54.813	5.406
54.813	5.502
49.465	5.716
44.272	6.045
41.362	6.240
39.868	6.358
37.419	6.514
36.741	6.693
32.777	6.863
32.142	7.031
29.228	7.228
27.186	7.388
23.573	7.699
20.439	8.027
18.399	8.319
14.907	8.748
14.544	8.940
13.038	9.255
10.639	9.649
