Dataset 3 x,Dataset 3 y
3.147470102437E0,4.949815299411E-1
3.962310019065E0,9.933312899239E-1
4.459543380065E0,1.466457596946E0
4.664339907965E0,2.606289018625E0
4.583959181180E0,3.587317162491E0
4.365216621063E0,4.634015834776E0
4.325599382282E0,5.660043215729E0
3.976375452243E0,6.527043442066E0
3.741394361462E0,7.618218972235E0
3.278190274280E0,8.506487494708E0
2.823248733583E0,9.506395915494E0
2.246207770409E0,1.054981106136E1
1.718025680380E0,1.159367396082E1
1.214129745770E0,1.250388240984E1
7.673313505961E-1,1.350386545622E1
3.785618223531E-1,1.546383222714E1
1.527984857432E-1,1.755916983732E1
"-4.879809661895E-2",1.940928752751E1
