x	y
81.635	0.104
94.732	0.267
106.278	0.455
115.943	0.627
121.053	0.821
122.740	1.014
124.670	1.287
123.252	1.458
124.061	1.823
124.964	2.120
124.771	2.394
123.473	2.610
119.955	2.788
112.688	3.052
107.798	3.290
100.688	3.461
98.970	3.587
98.125	3.687
92.652	3.923
86.392	4.077
82.788	4.245
79.929	4.389
75.634	4.601
73.507	4.768
70.386	5.050
66.462	5.210
64.396	5.443
59.627	5.673
57.354	5.839
53.674	6.153
47.691	6.464
43.237	6.671
37.824	7.016
33.445	7.286
28.586	7.656
24.935	7.932
22.406	8.196
19.563	8.469
16.668	8.874
15.272	9.314
12.510	9.635
9.627	10.050
