u3ghw,B
5.337696809817E+00,8.388401262904E-01
8.136881575054E+00,6.190029273437E-01
8.950946844713E+00,7.406197321167E-01
9.676150889266E+00,3.61690756056E-01
1.002247006091E+01,1.881026776722E+00
1.042268717448E+01,1.180506960144E+00
1.084585137288E+01,5.270681063043E-01
1.147164349183E+01,1.060338387462E+00
1.27005756875E+01,1.769582582216E+00
1.281994766578E+01,8.594592857075E-01
1.288102031695E+01,6.085022964207E-01
1.323791267933E+01,8.095573654431E-01
1.411267609804E+01,7.887161292655E-01
1.41586855831E+01,1.168323984415E+00
1.478326240717E+01,1.776693413756E+00
1.52888586297E+01,7.374448751401E-01
1.593210871711E+01,2.040167975527E-01
1.608922789178E+01,1.20409989626E+00
1.802066262097E+01,5.509275694242E-01
1.8577860643E+01,1.231753300109E+00
1.926839701719E+01,3.960779233043E-01
1.927042937491E+01,8.796074506053E-01
2.035536659947E+01,1.518949484965E+00
2.121285785577E+01,8.224509453523E-01
2.131831994217E+01,5.724430914753E+02
2.328757229715E+01,1.100407775524E+00
2.339266380855E+01,2.994996365755E-01
2.372390310381E+01,1.492374754356E+00
2.463534862995E+01,3.313712997053E-01
2.470046010756E+01,5.002066205954E-01
2.479886670124E+01,6.87421259897E-01
2.57250428863E+01,1.42683824181E-01
2.657306783929E+01,3.707893868531E-01
2.663495859529E+01,9.200836040763E-01
2.725348912563E+01,1.542859528688E+00
2.985674178302E+01,1.293572543696E+00
3.0223404364E+01,1.975446295761E+00
3.059526438494E+01,1.739481162299E+00
3.109220362795E+01,1.626220789448E+00
3.438824120544E+01,6.732024284732E+02
3.51947030086E+01,1.578604945122E+00
3.520663250842E+01,1.319066918551E+00
3.61749311579E+01,9.541750975367E-01
3.675839190639E+01,2.043815645192E+00
3.716557233112E+01,3.727075677766E+02
3.797691966503E+01,1.454047786825E+00
3.841270350033E+01,1.976283321031E+00
3.882518345512E+01,2.119000931528E+01
3.985739210797E+01,4.917378511522E-01
4.124765006766E+01,4.075181939391E+00
4.142936036527E+01,3.966139870956E-01
4.197505025574E+01,9.806737097723E+00
4.200202556649E+01,6.976685465339E+00
4.297812016259E+01,1.591025169578E+00
4.468159160917E+01,6.670084042861E-01
4.489174390058E+01,1.962088149586E+00
4.566985841678E+01,1.562175632081E-01
4.588966624826E+01,3.116740118756E+02
4.620731179448E+01,1.210868997511E+00
4.640772026935E+01,8.124052902724E-01
4.67332494685E+01,1.727804024615E+00
4.695523956614E+01,5.18744243202E+02
4.826087261012E+01,5.098545706487E-01
4.861115325219E+01,2.330967373761E+00
5.020167929247E+01,2.068027478086E+00
5.089036152713E+01,5.146197302048E+00
5.105754825317E+01,9.047813869849E-01
5.109727095643E+01,5.99151440819E-01
5.307011308429E+01,2.531376198337E+00
5.33398285333E+01,1.433305484022E+00
5.361999987735E+01,7.418524198719E-01
5.375028481793E+01,2.197589739566E+01
5.400533125519E+01,1.787880509021E+00
5.405648558348E+01,1.082472480243E+00
5.591539819547E+01,2.187843066872E+00
5.85404732186E+01,7.907010663025E-01
5.876505256525E+01,6.86024714979E+02
5.954310732164E+01,6.438515518896E-01
6.033733419003E+01,1.985275738609E+00
6.059314695768E+01,1.54939901905E+00
6.428902052864E+01,2.589731285608E+00
6.536963767914E+01,2.217585226996E+00
6.783073216274E+01,4.461114625579E+00
6.940010889369E+01,1.912831761463E+00
7.076869317333E+01,5.01137724475E-01
7.207272433E+01,7.985968204499E-01
7.209222285609E+01,6.919333368497E-01
7.334686117428E+01,2.679058113998E+00
7.401387608591E+01,3.937727037167E+02
7.462199526212E+01,5.149678633728E+00
7.512548469941E+01,3.443974273068E+02
7.54590127601E+01,2.148426243427E+00
7.619836926231E+01,7.035556181103E+00
7.682638939575E+01,6.621852733873E+02
7.731108812651E+01,2.362420973958E+01
7.734202994973E+01,1.505742553207E+00
8.099990123423E+01,3.794867685761E+00
8.196838829918E+01,1.33152111366E+01
8.226826690766E+01,1.9221762862E+00
8.285195806432E+01,7.843173703008E+00
8.580359493205E+01,1.569303586214E+00
8.667979734965E+01,4.136442029133E+00
8.697092122415E+01,5.059582601065E+00
9.221078670243E+01,1.500584661787E+00
9.56726502672E+01,7.786673124982E+00
9.600907082899E+01,9.38845404462E-01
9.781788002013E+01,1.206617396296E+00
9.855157629282E+01,5.843728270408E+02
1.003913122118E+02,8.214480197091E+02
1.03728065855E+02,6.21792921948E-01
1.055144832976E+02,1.855317693719E+00
1.065001897638E+02,3.413982543348E+02
1.085176587738E+02,4.158034114109E+02
1.092177346099E+02,5.860607462631E+00
1.104462991247E+02,9.31395032107E+02
1.11557263549E+02,4.627975126335E+00
1.17111577827E+02,4.974803591314E+02
1.173216395985E+02,1.924338342364E+02
1.222441878922E+02,3.869351266276E+00
1.222787165453E+02,3.331444881031E+00
1.235989301145E+02,6.460874132828E+00
1.263476260142E+02,6.99374940742E+02
1.281875980527E+02,4.990962951236E+00
1.298778689189E+02,8.068241060788E+00
1.349810854287E+02,5.884780733627E+00
1.352286586675E+02,2.656241099552E+00
1.400615265441E+02,3.498353422208E+00
1.406095883497E+02,1.79090573473E+00
1.450942985504E+02,4.973409998861E+00
1.460218336423E+02,2.343396757779E+00
1.504117052305E+02,2.303040031778E+02
1.509502662163E+02,6.133278160031E+00
1.548288104852E+02,1.274297297134E+00
1.559426619211E+02,7.251659933879E+02
1.60142702572E+02,1.40673006388E+01
1.621204184666E+02,5.347579388289E+02
1.631377221326E+02,1.94230723334E+01
1.683236000258E+02,4.410658990961E+02
1.728366896416E+02,1.623801094123E+01
1.736979117464E+02,1.165317569555E+00
1.750177244234E+02,5.887482037247E+00
1.786296579691E+02,2.706947834438E+02
1.79465123261E+02,2.282640865776E+01
1.801622227281E+02,6.590316287555E+02
1.883818225939E+02,2.45302777511E+00
1.913713143876E+02,2.785925043255E+00
1.962817642195E+02,5.850845959019E+02
