x	y
48.233	0.155
26.753	0.145
24.717	0.299
16.936	0.208
26.634	0.348
28.722	0.390
41.976	0.404
42.604	0.491
50.622	0.497
54.702	0.598
62.115	0.648
74.712	0.513
74.345	0.688
61.346	0.771
75.846	0.820
106.628	0.618
46.403	0.681
50.144	0.798
52.648	0.898
56.726	1.053
48.612	1.147
38.097	0.997
28.957	0.929
22.003	0.810
26.721	0.691
25.625	0.504
20.984	0.404
18.734	0.561
13.964	0.622
14.232	0.868
14.678	0.789
16.071	0.755
11.714	0.525
20.376	0.904
24.478	1.115
30.884	1.269
35.021	1.292
9.439	0.728
8.539	0.618
10.536	0.363
5.698	0.862
10.835	1.208
11.710	1.096
14.573	1.197
16.686	1.216
19.222	1.250
20.582	1.511
23.865	1.520
28.710	1.506
35.343	1.710
31.300	2.062
37.675	2.027
41.099	1.837
46.738	1.971
48.706	1.817
49.384	2.305
56.135	2.542
58.915	2.158
62.275	1.903
62.278	1.577
56.362	1.459
47.719	1.365
42.956	1.433
101.937	0.937
101.556	1.199
98.262	1.481
82.975	1.557
86.325	1.979
112.465	1.853
146.194	1.862
79.592	2.351
66.074	2.533
78.834	2.710
15.615	1.838
13.057	1.768
10.489	1.937
158.679	1.298
185.629	1.131
363.020	1.053
156.440	2.384
139.012	2.667
191.981	2.559
194.664	2.865
231.308	2.946
208.285	3.536
242.675	3.735
240.165	4.528
224.852	5.067
245.293	5.736
293.344	4.851
231.508	6.610
187.453	6.033
168.394	5.302
159.468	5.920
140.917	4.857
117.966	4.655
113.894	5.667
92.114	5.194
76.761	5.284
71.619	4.589
90.542	4.148
85.883	3.813
55.098	5.170
132.238	3.872
134.230	3.350
146.504	3.488
40.126	4.218
79.619	7.222
98.246	7.784
43.627	7.048
42.724	9.976
57.391	22.846
40.639	21.286
79.928	24.344
88.011	13.600
178.124	14.512
181.102	16.217
178.666	19.592
191.266	23.920
312.733	17.383
445.448	17.929
451.176	15.039
491.655	13.496
489.902	11.720
664.518	13.232
564.370	15.978
606.573	20.102
561.550	23.830
630.304	25.322
761.439	23.754
870.071	20.794
840.407	17.675
741.168	14.425
761.140	11.923
807.393	11.148
974.707	12.005
924.829	13.827
1089.092	13.831
1000.853	15.462
1064.791	18.756
1294.447	16.034
1307.911	13.348
1495.161	13.346
1758.847	15.725
1850.862	18.265
1950.540	19.928
1801.056	24.033
2316.597	25.288
2088.351	28.400
230.257	7.523
244.699	8.682
266.750	9.405
306.423	7.910
312.509	6.886
334.674	7.578
338.562	9.257
429.706	8.618
397.881	7.658
423.515	6.628
382.488	5.985
449.250	5.552
496.788	4.176
577.474	4.641
136.356	8.059
126.092	6.537
222.895	13.583
346.136	12.279
416.039	10.341
485.670	9.736
518.584	9.189
670.146	8.341
506.825	7.305
752.511	9.234
872.589	8.980
694.176	3.078
1328.273	6.233
1770.658	5.998
2394.465	13.598
1382.567	18.399
1406.290	22.812
1253.761	24.590
1482.026	25.325
982.221	24.730
982.260	31.734
852.818	33.903
639.448	30.671
673.466	34.724
659.623	37.940
678.929	44.343
830.441	41.399
773.302	49.857
886.976	48.851
935.956	55.941
759.237	60.605
604.655	57.039
741.579	68.234
802.650	75.660
958.075	79.734
940.070	93.866
1168.470	82.972
1023.078	73.080
962.295	65.100
1197.201	62.183
1186.469	73.151
1138.586	52.310
1274.753	45.903
1554.377	36.555
1532.608	32.617
388.945	40.942
1857.698	44.919
2117.518	49.571
2066.342	40.312
2023.816	72.434
1830.767	62.495
3148.344	81.680
1614.218	111.954
1222.970	95.521
1090.919	114.252
1176.425	126.326
1135.969	165.809
1404.436	180.267
1558.282	160.321
1932.080	156.834
2137.999	195.694
1785.632	198.344
2836.027	191.642
2902.144	221.189
1197.347	214.327
1415.277	240.415
1713.755	241.544
1607.079	297.688
1476.899	320.280
1723.843	340.666
1495.526	397.439
1242.603	319.689
1131.702	298.320
981.799	331.568
831.643	308.221
726.530	257.080
665.369	243.785
796.275	221.180
2763.336	378.883
1821.399	561.738
674.043	201.503
567.018	209.188
303.246	254.246
288.103	279.548
329.919	278.305
352.704	347.699
289.788	381.762
258.072	322.190
217.506	320.889
192.764	278.033
161.213	237.648
128.381	188.307
595.180	262.071
489.048	274.747
452.648	361.819
449.350	410.516
540.621	398.978
648.115	385.274
615.341	441.264
689.913	461.210
786.505	397.495
880.893	397.521
962.788	492.190
606.152	555.085
601.851	655.361
603.824	766.440
507.206	707.524
472.685	614.181
402.812	662.321
365.399	606.871
357.068	771.238
315.276	663.099
284.591	585.327
341.435	552.584
295.290	498.881
332.627	465.460
377.157	419.104
417.899	487.874
251.364	441.433
228.316	375.305
179.174	449.021
171.473	548.603
208.369	591.739
234.179	684.291
264.651	730.071
272.595	868.064
225.026	848.315
170.772	744.833
134.181	690.670
105.587	844.494
114.761	956.185
81.941	696.343
107.198	589.116
123.512	506.756
117.897	427.812
112.887	337.391
79.498	354.867
79.496	394.747
61.530	695.976
49.081	527.887
37.582	689.847
22.930	579.021
38.209	366.474
49.957	318.677
