Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,48.233,,,,,0.00009650943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,26.753,,,,,0.00009028301887,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,24.717,,,,,0.00018616981132,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,16.936,,,,,0.00012950943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,26.634,,,,,0.00021667924528,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,28.722,,,,,0.00024283018868,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,41.976,,,,,0.00025154716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,42.604,,,,,0.00030571698113,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,50.622,,,,,0.00030945283019,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,54.702,,,,,0.00037233962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,62.115,,,,,0.00040347169811,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,74.712,,,,,0.00031941509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,74.345,,,,,0.00042837735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,61.346,,,,,0.00048005660377,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,75.846,,,,,0.00051056603774,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,106.628,,,,,0.00038479245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,46.403,,,,,0.00042401886792,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,50.144,,,,,0.00049686792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,52.648,,,,,0.00055913207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,56.726,,,,,0.00065564150943,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,48.612,,,,,0.00071416981132,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,38.097,,,,,0.00062077358491,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,28.957,,,,,0.00057843396226,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,22.003,,,,,0.00050433962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,26.721,,,,,0.00043024528302,,,,,,,FALSE
