x	y
0.0007844	0.0042902
0.0233950	0.0137878
0.0364574	0.0160881
0.0431600	0.0252894
0.0305484	0.0414903
0.0150015	0.0601186
0.0075603	0.0901638
0.0031011	0.1282953
0.0007641	0.1757974
0.0002025	0.2217472
0.0011049	0.2715214
0.0029098	0.3616288
0.0039821	0.4534435
0.0043636	0.5292691
0.0049252	0.6025827
0.0054105	0.6822752
0.0057066	0.7684309
0.0055916	0.8528227
0.0051114	0.9290715
0.0044033	1.0267572
0.0032750	1.0904038
0.0020633	1.1639997
0.0011609	1.2292552
0.0004558	1.3111490
0.0000153	1.3824446
0.0000000	1.5015526
