x	y
0.0001325	0.0019497
0.0521794	0.0122773
0.0620329	0.0165299
0.0414705	0.0255012
0.0281448	0.0314914
0.0151769	0.0424689
0.0036556	0.0715585
0.0002640	0.1141688
0.0028513	0.1877759
0.0060359	0.2484275
0.0088464	0.3255807
0.0118282	0.4246888
0.0127640	0.4868382
0.0132676	0.5466421
0.0130637	0.6380929
0.0128598	0.7132822
0.0114836	0.8012010
0.0104112	0.8929626
0.0086058	0.9878889
0.0058310	1.0889609
0.0037851	1.1759472
0.0013456	1.2976320
0.0006483	1.3892946
0.0000918	1.4801666
0.0000000	1.5277212
