x	y
32.3868408	235.3063354
37.9349060	324.0204468
45.9669189	432.0863037
53.2281342	519.8416748
57.5587311	586.3172607
60.5556488	637.1404419
61.5307159	732.3468628
61.2129517	837.9949951
62.8662109	933.0241699
65.8449707	1026.7402344
71.0906830	1133.9101562
65.6724548	1184.0245361
60.5874176	1232.3572998
50.3256531	1275.4689941
36.6784058	1346.4046631
23.5277557	1433.0031738
20.3819580	1533.3576660
20.2067261	1610.7752686
20.3528900	1655.2313232
21.6593475	1792.5280762
22.0878601	1895.2166748
21.8354645	2000.0000000
