x	y
6.406	0.069
6.958	0.138
7.492	0.259
7.924	0.375
8.355	0.460
8.726	0.591
9.098	0.713
9.440	0.839
9.731	0.958
9.935	1.078
10.240	1.200
10.440	1.309
10.607	1.416
10.767	1.558
10.886	1.749
10.832	2.047
10.559	2.280
10.363	2.360
10.161	2.465
9.910	2.628
9.607	2.723
9.297	2.847
8.951	2.967
8.626	3.062
8.279	3.194
7.910	3.311
7.540	3.436
7.118	3.533
6.809	3.667
6.477	3.773
6.193	3.894
5.773	4.018
5.483	4.148
5.196	4.262
4.847	4.369
4.643	4.485
4.490	4.595
4.279	4.713
4.058	4.829
3.933	4.968
3.750	5.062
3.579	5.201
3.386	5.327
3.156	5.453
2.549	6.091
2.113	6.599
1.995	6.918
1.532	7.620
1.141	8.366
0.760	10.209
0.342	13.101
0.083	13.928
