Exp,run,densitytype,Bed_height,Particle_type,Init_Conc,Conservative,slope(tan),Temp,d50 (micron),Rhos(kgm),Rhoa(kgm),mu,Injection,Cprofile_available,submarine,flume_wide,n,Depositional,DepoThick(dm3),Bed Condition,Confined,IsNumerical
Altinakar1988,SALT01-200,FD,0,Salt,1005.2,Conservative,0.027,19.5,,,1000.5,Cohesionless,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT01-400,FD,0,Salt,1005.2,Conservative,0.027,19.5,,,1000.5,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT01-800,FD,0,Salt,1005.2,Conservative,0.027,20,,,1000.5,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT02-200,FD,0,Salt,1005.1,Conservative,0.027,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT02-400,FD,0,Salt,1005.1,Conservative,0.027,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT05-200,FD,0,Salt,1007.1,Conservative,0.0296,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT05-400,FD,0,Salt,1007.1,Conservative,0.0296,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT05-800,FD,0,Salt,1007.1,Conservative,0.0296,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT06-200,FD,0,Salt,1004.1,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT06-400,FD,0,Salt,1004.1,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT06-800,FD,0,Salt,1004.1,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT07-220,FD,0,Salt,1003.5,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT07-400,FD,0,Salt,1003.5,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT07-800,FD,0,Salt,1003.5,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT08-200,FD,0,Salt,1007.4,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT08-400,FD,0,Salt,1007.4,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT08-800,FD,0,Salt,1007.4,Conservative,0.02,,,,1000.8,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT09-220,FD,0,Salt,1007.5,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT09-400,FD,0,Salt,1007.5,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT09-800,FD,0,Salt,1007.5,Conservative,0.02,,,,1000.4,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT10-200,FD,0,Salt,1007,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT10-400,FD,0,Salt,1007,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT10-800,FD,0,Salt,1007,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT11-220,FD,0,Salt,1007.5,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT11-400,FD,0,Salt,1007.5,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT11-800,FD,0,Salt,1007.5,Conservative,0.01,,,,1000.6,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT12-220,FD,0,Salt,1004.6,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT12-400,FD,0,Salt,1004.6,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT12-800,FD,0,Salt,1004.6,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT13-220,FD,0,Salt,1004,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT13-400,FD,0,Salt,1004,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,SALT13-800,FD,0,Salt,1004,Conservative,0.01,,,,1000.7,Saline,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Altinakar1988,TK0601-400,FD,0,Quartz flour,1005,Non-Conservative,0.0272,,32,2650,1000.4,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0601-800,FD,0,Quartz flour,1005,Non-Conservative,0.0272,,32,2650,1000.4,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0602-200,FD,0,Quartz flour,1004.5,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0602-400,FD,0,Quartz flour,1004.5,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0602-800,FD,0,Quartz flour,1004.5,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-200,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-400,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-800,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-200,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-400,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-800,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0606-200,FD,0,Quartz flour,1004.6,Non-Conservative,0.0294,,32,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0606-400,FD,0,Quartz flour,1004.6,Non-Conservative,0.0294,,32,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0607-200,FD,0,Quartz flour,1003.2,Non-Conservative,0.0269,,32,2650,999.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0607-400,FD,0,Quartz flour,1003.2,Non-Conservative,0.0269,,32,2650,999.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0608-400,FD,0,Quartz flour,1003.5,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0608-800,FD,0,Quartz flour,1003.5,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0609-200,FD,0,Quartz flour,1003.2,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0609-400,FD,0,Quartz flour,1003.2,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
