x	y
7.9534802	0.3117789
7.7478471	0.3092485
7.5839472	0.3049878
7.4375134	0.3049878
7.2737093	0.3049878
7.0418286	0.3023432
6.7625637	0.2937590
6.4981141	0.2884891
6.2380705	0.2884891
5.9513021	0.2846916
5.5573416	0.2845852
5.2967234	0.2831904
5.0416622	0.2919009
4.8373699	0.3075603
4.5036626	0.3397695
4.2992425	0.3765215
4.0568256	0.4223149
3.8692651	0.4778509
3.6775532	0.5384077
3.4928026	0.6123645
3.2533550	0.7393873
3.0482006	0.8547158
2.8139253	1.0166532
2.5197167	1.2325112
2.2445383	1.4162740
1.9221673	1.5993327
1.7096996	1.6934323
1.4213028	1.7593664
1.1090846	1.7816139
0.7673316	1.7375044
0.4442253	1.6814630
-0.2406225	1.4595652
-0.6092300	1.3404083
-1.0464249	1.2209878
-1.3871880	1.1046221
-1.7059517	1.0155160
-1.9306469	0.9526055
