x	y
0.0002538	0.0455761
0.0003358	0.3979664
0.0004757	1.9953861
0.0005767	3.3782616
0.0006614	4.4115257
0.0007549	5.5770798
0.0009440	7.5257759
0.0012284	9.5445080
0.0015909	11.8950615
0.0019897	14.3295441
0.0023888	16.8540707
0.0029248	20.0472431
0.0036227	24.1141605
0.0042672	28.2233257
0.0050498	33.5508423
0.0056232	37.5977554
0.0061313	41.3712082
0.0069147	46.5530777
0.0075553	50.3798981
0.0084195	54.9803925
0.0094100	59.4497375
0.0110671	64.7283401
0.0131227	69.3583145
0.0162067	74.8325577
0.0198197	80.8231659
0.0228820	85.2263565
0.0270629	89.6128769
0.0321996	93.3585281
0.0403072	96.4227524
0.0474769	98.0935440
0.0589449	99.4119492
