x	y
0.0004784	0.8233948
0.0005454	1.3962612
0.0006235	1.8430634
0.0007133	2.5755024
0.0008048	3.5233650
0.0009263	4.6563320
0.0010618	6.0589752
0.0012003	7.5727901
0.0013846	9.4541531
0.0015693	11.5158329
0.0018030	13.9471912
0.0020650	16.5024776
0.0023527	18.8556461
0.0026902	21.7077427
0.0030408	24.4162235
0.0034608	27.2566204
0.0039844	30.0895748
0.0045569	32.8097610
0.0051958	35.7288742
0.0059468	38.3533096
0.0068068	41.3064804
0.0077000	44.2734680
0.0087439	47.1276932
0.0100766	50.0452118
0.0114658	53.2148590
0.0131260	56.1584473
0.0148972	59.3812790
0.0171251	62.3035965
0.0195199	65.2620697
0.0222676	68.1726761
0.0255478	70.6540375
0.0292071	72.9651794
0.0332945	75.1470718
0.0379367	77.2454529
0.0436275	79.2151108
0.0496877	80.8470154
0.0562084	82.6134796
0.0646992	84.4384689
0.0726634	86.1575851
0.0836701	87.8261871
0.0961994	89.6070175
0.1085646	91.0617828
0.1249482	92.6931534
